Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],power,temp_diff,type_H,type_L,type_M,actual_failure,predicted_probability
300.0,311.4,1537,35.4,120,5697.780932109663,11.399999999999977,False,False,True,0,0.0
297.2,308.2,1678,28.1,133,4937.724949451174,11.0,False,False,True,0,0.0
300.4,309.7,1685,32.3,167,5699.425032265042,9.300000000000011,False,False,True,0,0.0
299.7,309.2,1456,40.6,182,6190.361716241519,9.5,True,False,False,0,0.01
300.7,311.1,1688,30.7,161,5426.745261908961,10.400000000000034,False,True,False,0,0.0
300.0,310.5,1606,33.5,135,5634.0275451928155,10.5,False,True,False,0,0.0
300.8,310.7,1339,59.1,203,8286.987349418765,9.899999999999977,False,True,False,1,0.87
303.5,312.6,1642,29.4,18,5055.325234450551,9.100000000000023,False,False,True,0,0.0
302.3,311.5,1543,33.1,39,5348.38346915292,9.199999999999989,False,True,False,0,0.0
299.3,309.0,1419,46.6,158,6924.635695189551,9.699999999999989,False,True,False,0,0.0
302.3,311.7,1281,48.8,0,6546.325107844267,9.399999999999977,False,True,False,0,0.016666666666666666
301.4,310.7,1639,29.8,127,5114.743223505447,9.300000000000011,False,False,True,0,0.0
299.1,308.6,1555,36.6,104,5959.915423125197,9.5,False,True,False,0,0.0
301.8,310.3,1688,28.8,31,5090.888063289188,8.5,False,True,False,0,0.0
298.4,308.1,1491,50.0,156,7806.857744170636,9.700000000000045,False,True,False,0,0.0033333333333333335
297.4,308.5,1399,61.5,61,9009.930650862847,11.100000000000023,False,True,False,1,0.57
302.9,312.5,1679,30.9,79,5432.97608733858,9.600000000000023,False,False,True,0,0.0
302.1,310.7,1376,46.3,210,6671.56993496738,8.599999999999966,False,False,True,1,0.5133333333333333
297.3,308.4,1513,40.5,25,6416.860074589832,11.099999999999966,False,True,False,0,0.0
303.0,311.2,1592,38.9,188,6485.168770854386,8.199999999999989,False,False,True,0,0.0
302.5,312.0,1445,54.8,0,8292.338528905379,9.5,False,False,True,0,0.04
302.0,310.4,1357,58.0,108,8242.073046447942,8.399999999999977,False,True,False,1,0.7966666666666666
300.2,311.6,1375,56.9,155,8193.01184117438,11.400000000000034,False,True,False,0,0.006666666666666667
298.4,309.5,1357,50.1,125,7119.445855638653,11.100000000000023,False,True,False,0,0.0
302.2,310.8,1744,29.7,16,5424.148211981993,8.600000000000023,False,True,False,0,0.006666666666666667
303.9,313.1,1514,41.1,121,6516.228650222877,9.200000000000045,False,False,True,0,0.0
303.5,312.7,1694,27.3,40,4842.89073921481,9.199999999999989,False,True,False,0,0.0
297.5,308.5,1530,38.5,93,6168.517175323559,11.0,False,True,False,0,0.0
298.1,308.0,2129,18.4,45,4102.249799155504,9.899999999999977,False,False,True,0,0.0
300.4,310.0,1282,66.1,40,8873.972992790992,9.600000000000023,False,True,False,0,0.2966666666666667
299.0,310.3,1635,34.5,168,5906.979586912208,11.300000000000011,False,False,True,0,0.0
298.0,307.7,1621,34.9,194,5924.300234409,9.699999999999989,False,False,True,0,0.0
300.7,312.2,1335,49.0,62,6850.242781152544,11.5,True,False,False,0,0.0
298.0,307.3,1424,46.5,185,6934.123305003392,9.300000000000011,False,True,False,0,0.0
300.3,311.6,1560,37.7,107,6158.77823809743,11.300000000000011,False,True,False,0,0.0
302.2,311.0,1436,47.0,187,7067.745712536078,8.800000000000011,False,False,True,0,0.0
296.4,307.5,1684,31.4,72,5537.329323315322,11.100000000000023,False,False,True,0,0.0
300.9,311.0,1438,49.0,61,7378.763385241467,10.100000000000023,False,True,False,0,0.12
299.3,309.1,1571,38.3,59,6300.914361721344,9.800000000000011,False,False,True,0,0.0033333333333333335
298.8,309.6,1309,57.4,185,7868.286352523827,10.800000000000011,True,False,False,0,0.016666666666666666
297.5,309.3,1525,41.7,235,6659.3910274469645,11.800000000000011,True,False,False,0,0.013333333333333334
302.2,311.3,1658,31.0,2,5382.385973640273,9.100000000000023,False,False,True,0,0.0
302.5,311.6,1400,54.0,196,7916.813487046279,9.100000000000023,False,True,False,0,0.25
301.8,311.0,1756,26.7,33,4909.806662736272,9.199999999999989,False,False,True,0,0.0
298.9,309.2,1379,50.7,106,7321.51309511755,10.300000000000011,True,False,False,0,0.0033333333333333335
299.3,308.8,1636,29.9,201,5122.513429335324,9.5,False,True,False,0,0.006666666666666667
301.0,310.7,1493,48.1,145,7520.2711903346635,9.699999999999989,False,False,True,0,0.0033333333333333335
300.7,310.5,1357,52.6,199,7474.707624882099,9.800000000000011,False,True,False,0,0.15666666666666668
298.2,307.8,1749,26.1,66,4780.341629481836,9.600000000000023,False,True,False,0,0.0
298.2,307.8,1566,33.8,100,5542.9004142876865,9.600000000000023,False,False,True,0,0.0
300.4,310.2,1431,43.2,0,6473.691485693272,9.800000000000011,True,False,False,0,0.0
300.7,309.5,1733,26.7,108,4845.498261117289,8.800000000000011,False,False,True,0,0.0
302.0,310.6,1623,34.3,9,5829.633575780827,8.600000000000023,False,False,True,0,0.0
302.2,310.8,1356,48.3,36,6858.599417611093,8.600000000000023,False,False,True,0,0.82
299.6,310.9,1853,26.3,166,5103.4020740259875,11.299999999999955,False,True,False,0,0.0033333333333333335
